Reviewer_ID,Reviewer_Level,Target_Level,Reviewee_1_ID,Reviewee_1_Story,Reviewee_2_ID,Reviewee_2_Story,Reviewee_3_ID,Reviewee_3_Story
817956,5,4,187109,誰も見ていない。これはボウリングではない。隣のレーンから悲鳴が聞こえる。,550992,プロの技を見せつける時が来た。実はボールは爆弾だった。彼は静かにボールを構えた。ピンが逃げ出した。しかし靴紐がほどけていた。しかし、指が抜けなくなった。,718493,ボールが天井に刺さった。これはボウリングではない。ストライクが出ると爆発する。狙撃銃を取り出した。
413542,5,4,216247,隣のレーンから悲鳴が聞こえる。実はボールは爆弾だった。全ては幻覚だったのかもしれない。しかし靴紐がほどけていた。ピンが逃げ出した。スコアはゼロだ。,479689,隣のレーンから悲鳴が聞こえる。実はボールは爆弾だった。筋肉痛がひどい。,990569,ピンが逃げ出した。重力が歪んでいる。実はボールは爆弾だった。店員がアサシンだった。隣のレーンから悲鳴が聞こえる。全ては幻覚だったのかもしれない。
333678,5,4,990569,ピンが逃げ出した。重力が歪んでいる。実はボールは爆弾だった。店員がアサシンだった。隣のレーンから悲鳴が聞こえる。全ては幻覚だったのかもしれない。,822693,ピンが逃げ出した。ガーターに吸い込まれる。隣のレーンから悲鳴が聞こえる。しかし、指が抜けなくなった。全ては幻覚だったのかもしれない。スコアはゼロだ。,216247,隣のレーンから悲鳴が聞こえる。実はボールは爆弾だった。全ては幻覚だったのかもしれない。しかし靴紐がほどけていた。ピンが逃げ出した。スコアはゼロだ。
553399,5,4,550992,プロの技を見せつける時が来た。実はボールは爆弾だった。彼は静かにボールを構えた。ピンが逃げ出した。しかし靴紐がほどけていた。しかし、指が抜けなくなった。,187109,誰も見ていない。これはボウリングではない。隣のレーンから悲鳴が聞こえる。,216247,隣のレーンから悲鳴が聞こえる。実はボールは爆弾だった。全ては幻覚だったのかもしれない。しかし靴紐がほどけていた。ピンが逃げ出した。スコアはゼロだ。
806805,5,4,819261,プロの技を見せつける時が来た。しかし靴紐がほどけていた。ボールが天井に刺さった。,550992,プロの技を見せつける時が来た。実はボールは爆弾だった。彼は静かにボールを構えた。ピンが逃げ出した。しかし靴紐がほどけていた。しかし、指が抜けなくなった。,386025,ボールが天井に刺さった。スコアはゼロだ。全ては幻覚だったのかもしれない。誰も見ていない。店員がアサシンだった。猫が横切った。
718493,4,3,850277,狙撃銃を取り出した。プロの技を見せつける時が来た。スナイパーは微笑んだ。,577893,しかし靴紐がほどけていた。誰も見ていない。彼は静かにボールを構えた。ボールが天井に刺さった。狙撃銃を取り出した。,524534,全ては幻覚だったのかもしれない。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。プロの技を見せつける時が来た。ピンが逃げ出した。
550992,4,3,717074,ピンが逃げ出した。ボールが天井に刺さった。しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。しかし、指が抜けなくなった。,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。,524534,全ては幻覚だったのかもしれない。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。プロの技を見せつける時が来た。ピンが逃げ出した。
822693,4,3,577893,しかし靴紐がほどけていた。誰も見ていない。彼は静かにボールを構えた。ボールが天井に刺さった。狙撃銃を取り出した。,563198,猫が横切った。ガーターに吸い込まれる。ボールが天井に刺さった。誰も見ていない。隣のレーンから悲鳴が聞こえる。,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。
990569,4,3,850277,狙撃銃を取り出した。プロの技を見せつける時が来た。スナイパーは微笑んだ。,630404,重力が歪んでいる。ガーターに吸い込まれる。筋肉痛がひどい。スナイパーは微笑んだ。これはボウリングではない。,160048,ガーターに吸い込まれる。店員がアサシンだった。ピンが逃げ出した。
479689,4,3,563198,猫が横切った。ガーターに吸い込まれる。ボールが天井に刺さった。誰も見ていない。隣のレーンから悲鳴が聞こえる。,174228,ボールが天井に刺さった。店員がアサシンだった。ストライクが出ると爆発する。スコアはゼロだ。全ては幻覚だったのかもしれない。,850277,狙撃銃を取り出した。プロの技を見せつける時が来た。スナイパーは微笑んだ。
