Reviewer_ID,Reviewee_1_ID,Reviewee_1_Story,Reviewee_2_ID,Reviewee_2_Story,Reviewee_3_ID,Reviewee_3_Story
433541,310798,ボールが天井に刺さった。重力が歪んでいる。スコアはゼロだ。誰も見ていない。しかし、指が抜けなくなった。プロの技を見せつける時が来た。,707553,店員がアサシンだった。猫が横切った。しかし、指が抜けなくなった。実はボールは爆弾だった。ガーターに吸い込まれる。,668057,しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。ピンが逃げ出した。
992471,338847,ストライクが出ると爆発する。しかし、指が抜けなくなった。スナイパーは微笑んだ。ボールが天井に刺さった。ピンが逃げ出した。,815821,狙撃銃を取り出した。実はボールは爆弾だった。彼は静かにボールを構えた。隣のレーンから悲鳴が聞こえる。ガーターに吸い込まれる。これはボウリングではない。,420658,誰も見ていない。彼は静かにボールを構えた。狙撃銃を取り出した。隣のレーンから悲鳴が聞こえる。ボールが天井に刺さった。しかし、指が抜けなくなった。
668057,138386,しかし、指が抜けなくなった。筋肉痛がひどい。彼は静かにボールを構えた。,516165,これはボウリングではない。プロの技を見せつける時が来た。誰も見ていない。筋肉痛がひどい。ストライクが出ると爆発する。彼は静かにボールを構えた。,338847,ストライクが出ると爆発する。しかし、指が抜けなくなった。スナイパーは微笑んだ。ボールが天井に刺さった。ピンが逃げ出した。
377109,892321,全ては幻覚だったのかもしれない。実はボールは爆弾だった。ストライクが出ると爆発する。誰も見ていない。,634866,店員がアサシンだった。誰も見ていない。猫が横切った。,338847,ストライクが出ると爆発する。しかし、指が抜けなくなった。スナイパーは微笑んだ。ボールが天井に刺さった。ピンが逃げ出した。
954688,151158,狙撃銃を取り出した。しかし靴紐がほどけていた。スナイパーは微笑んだ。ピンが逃げ出した。ボールが天井に刺さった。,861279,狙撃銃を取り出した。実はボールは爆弾だった。全ては幻覚だったのかもしれない。彼は静かにボールを構えた。ストライクが出ると爆発する。誰も見ていない。,540495,実はボールは爆弾だった。ボールが天井に刺さった。しかし靴紐がほどけていた。狙撃銃を取り出した。全ては幻覚だったのかもしれない。隣のレーンから悲鳴が聞こえる。
269688,922360,隣のレーンから悲鳴が聞こえる。ボールが天井に刺さった。スコアはゼロだ。ストライクが出ると爆発する。,668057,しかし靴紐がほどけていた。隣のレーンから悲鳴が聞こえる。スナイパーは微笑んだ。ピンが逃げ出した。,992471,プロの技を見せつける時が来た。しかし、指が抜けなくなった。スコアはゼロだ。全ては幻覚だったのかもしれない。
861279,269688,全ては幻覚だったのかもしれない。筋肉痛がひどい。実はボールは爆弾だった。ガーターに吸い込まれる。しかし、指が抜けなくなった。ピンが逃げ出した。,408784,これはボウリングではない。重力が歪んでいる。誰も見ていない。ストライクが出ると爆発する。ボールが天井に刺さった。全ては幻覚だったのかもしれない。,138386,しかし、指が抜けなくなった。筋肉痛がひどい。彼は静かにボールを構えた。
892321,372164,ボールが天井に刺さった。プロの技を見せつける時が来た。ストライクが出ると爆発する。ピンが逃げ出した。隣のレーンから悲鳴が聞こえる。誰も見ていない。,814905,ガーターに吸い込まれる。彼は静かにボールを構えた。猫が横切った。,992471,プロの技を見せつける時が来た。しかし、指が抜けなくなった。スコアはゼロだ。全ては幻覚だったのかもしれない。
707553,640034,ピンが逃げ出した。誰も見ていない。隣のレーンから悲鳴が聞こえる。しかし、指が抜けなくなった。,260674,スナイパーは微笑んだ。筋肉痛がひどい。狙撃銃を取り出した。重力が歪んでいる。彼は静かにボールを構えた。,366289,猫が横切った。実はボールは爆弾だった。狙撃銃を取り出した。ピンが逃げ出した。
516165,757864,隣のレーンから悲鳴が聞こえる。筋肉痛がひどい。実はボールは爆弾だった。,293310,重力が歪んでいる。しかし、指が抜けなくなった。猫が横切った。これはボウリングではない。彼は静かにボールを構えた。,151158,狙撃銃を取り出した。しかし靴紐がほどけていた。スナイパーは微笑んだ。ピンが逃げ出した。ボールが天井に刺さった。
